	zero	Kinesis	telicity	durative	affirmation	mode	P_affectedness	P_definiteness	P_animacy	P_concreteness	A_definite	A_animacy	A_number	clause	corpus
dibuat	zero	1	1	1	1	1	1	1	0	0	1	1	1	relative	kompas
dilakukan	oleh	1	1	0	1	1	0	1	0	0	1	1	2	relative	kompas
dilakukan	oleh	1	1	1	1	1	0	1	0	0	0	1	3	relative	web
diberikan	zero	1	1	1	1	0	0	0	0	0	0	0	2	relative	web
digunakan	oleh	1	1	1	1	1	0	0	0	0	0	1	2	relative	web
dilakukan	oleh	1	1	0	1	1	0	0	0	0	1	0	3	relative	web
ditemukan	zero	1	1	0	1	1	0	0	0	0	0	1	1	relative	web
dibuat	zero	1	1	0	1	1	1	0	0	0	1	1	1	relative	kompas
dilakukan	zero	1	0	1	0	0	0	0	0	0	0	1	1	relative	web
dikenal	oleh	0	0	1	1	1	0	1	0	0	0	1	4	relative	web
dilakukan	oleh	1	1	1	1	1	0	0	0	0	0	0	2	relative	web
dianggap	oleh	0	0	1	1	1	0	1	0	0	1	0	1	main	kompas
dilakukan	zero	1	1	1	1	1	0	0	0	0	1	0	1	relative	kompas
diberikan	zero	1	1	1	1	1	0	0	0	0	0	1	1	relative	kompas
dilakukan	oleh	1	0	1	1	1	0	0	0	0	0	0	2	relative	kompas
dilakukan	oleh	1	0	1	1	1	0	0	0	0	0	0	1	relative	kompas
dibuat	oleh	1	1	1	1	1	1	1	0	1	1	0	8	relative	kompas
dibuat	oleh	1	1	1	1	1	1	0	0	0	1	1	3	relative	web
dilakukan	zero	1	0	1	1	1	0	0	0	0	0	1	1	adverbial	kompas
dikatakan	zero	1	1	0	1	1	0	0	0	0	1	1	1	relative	web
disebut	oleh	1	1	1	1	1	1	1	0	0	1	1	3	relative	kompas
diberikan	oleh	1	0	1	1	1	1	0	0	0	1	1	7	relative	web
dilakukan	oleh	1	1	1	1	1	0	0	0	0	0	1	1	relative	web
dibuat	oleh	1	1	1	1	1	1	0	0	0	0	0	2	main	web
dikatakan	zero	1	1	1	1	1	0	1	0	0	1	1	10	main	kompas
diberikan	oleh	1	1	1	1	1	1	0	0	1	1	1	1	relative	web
dilakukan	zero	1	0	1	1	1	0	1	0	0	0	1	1	sub	kompas
dilakukan	zero	1	0	0	1	1	0	0	0	0	1	1	1	relative	web
dilakukan	zero	1	1	1	1	1	0	0	0	0	0	0	2	relative	kompas
diberikan	zero	1	1	1	1	1	0	1	0	0	0	0	1	main	kompas
dilakukan	oleh	1	1	1	1	1	0	1	0	0	1	1	4	main	web
dibuat	oleh	1	1	1	1	1	1	0	0	0	1	0	3	relative	kompas
dilakukan	zero	1	1	1	1	1	0	0	0	0	0	0	1	relative	kompas
diberikan	zero	1	1	0	1	1	0	0	0	1	1	0	2	relative	kompas
dibuat	zero	1	1	0	1	1	1	0	0	0	1	1	1	relative	web
dibuat	oleh	1	1	1	1	1	1	0	0	0	1	0	3	main	kompas
dilakukan	zero	1	1	1	1	1	0	0	0	0	1	1	1	relative	web
dilakukan	zero	1	1	1	1	0	0	1	0	0	0	0	1	relative	kompas
diberikan	oleh	1	1	1	1	1	0	0	0	0	1	1	1	relative	web
digunakan	oleh	1	0	1	1	1	0	0	0	0	0	1	1	adverbial	web
dilakukan	zero	1	0	1	1	1	0	0	0	0	0	1	5	relative	kompas
dilakukan	zero	1	1	1	1	1	0	1	0	0	1	0	1	sub	kompas
diberikan	zero	1	1	1	1	1	1	0	0	0	1	1	1	relative	web
dilakukan	zero	1	1	1	1	1	0	0	0	0	1	1	1	relative	web
dilakukan	oleh	1	1	1	1	1	0	0	0	0	1	0	1	relative	kompas
dilakukan	oleh	1	1	1	1	1	0	0	0	0	1	1	5	relative	web
diberikan	oleh	1	1	1	1	1	0	0	0	0	0	1	8	main	web
dianggap	zero	0	0	1	1	1	0	1	0	0	0	0	1	relative	web
diberikan	oleh	1	1	1	1	1	0	0	0	0	1	1	2	main	web
dilakukan	oleh	1	1	1	1	1	0	0	0	0	1	1	2	relative	kompas
dilakukan	oleh	1	0	1	1	1	0	0	0	0	0	1	1	relative	web
dibuat	zero	1	1	1	1	1	1	0	0	0	1	0	3	relative	kompas
dilakukan	zero	1	1	1	1	1	0	0	0	0	1	0	1	relative	kompas
diperlukan	oleh	0	0	1	1	1	0	1	0	0	0	1	1	main	web
dilakukan	zero	1	1	0	1	1	0	0	0	0	1	1	4	relative	web
dikatakan	zero	1	1	1	1	1	0	1	0	0	1	1	8	main	kompas
dilakukan	zero	1	1	1	1	1	0	0	0	0	1	0	1	relative	kompas
dilakukan	oleh	1	1	1	1	0	0	0	0	0	0	0	12	main	web
dilakukan	zero	1	0	1	1	1	0	0	0	0	1	0	1	relative	web
dilakukan	zero	1	1	1	1	1	0	0	0	0	1	1	2	relative	kompas
